target_index,tic_id,tic_name,ads_search_query,simbad_object_query,simbad_coordinate_query,ra_deg,dec_deg,plx_mas,vmag,kmag,teff_k,lum_rel_solar,hz_inner_mas,hz_outer_mas,t_exposure_hr,n_cover,t_tot_day,recommended_next_crossmatch,literature_search_name,simbad_main_id,literature_search_aliases,mast_hip,mast_tyc,mast_gaia,mast_twomass,mast_kic
11,419015728,TIC 419015728,"""TIC 419015728""",TIC 419015728,26.01704803 -15.93748189,26.01704803,-15.93748189,277.516,3.49607,1.794,5333.0,0.505734,150.7657086,362.2357784,0.491261152370587,9,0.18422293213897,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 10700,tau Cet,HD 10700 | HR 509 | tau Cet | 52 Cet | HIP 8102 | TYC 5855-2292-1 | Gaia DR3 2452378776434477184 | Gaia DR2 2452378776434276992 | 2MASS J01440402-1556141 | TIC 419015728,,,2452378776434276992,01440402-1556141,
12,445258206,TIC 445258206,"""TIC 445258206""",TIC 445258206,12.27615858 57.81521394,12.27615858,57.81521394,167.99,3.43776,1.988,5919.0,1.357258085,146.0255345,341.5721936,2.74055734428271,8,0.913519114760902,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",Achird,eta Cas,Achird | HD 4614 | HD 4614A | HR 219 | 24 Cas | eta Cas | eta Cas A | HIP 3821 | TYC 3663-2669-1 | Gaia DR3 425040000962559616 | Gaia DR2 425040000951479424 | 2MASS J00490622+5748545 | TIC 445258206,3821,3663-02669-1,425040000951479424,00490622+5748545,
13,228896480,TIC 228896480,"""TIC 228896480""",TIC 228896480,291.37462200 3.11478700,291.374622,3.114787,65.05,3.35499,2.443,7087.36,9.702434166,145.1397378,325.0585254,82.1522716584883,8,27.3840905528294,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 182640,del Aql,HD 182640 | HR 7377 | del Aql | 30 Aql | HIP 95501 | TYC 469-6227-1 | Gaia DR3 4289041379340453376 | Gaia DR2 4289041379334773888 | 2MASS J19252990+0306532 | TIC 228896480,95501,0469-06227-1,,19252990+0306532,
14,341873045,TIC 341873045,"""TIC 341873045""",TIC 341873045,275.26424400 72.73287300,275.264244,72.732873,124.11,3.56184,2.216,6118.82,2.42926283,143.1920533,332.1156878,8.26470706957969,8,2.75490235652656,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 170153,chi Dra,HD 170153 | HR 6927 | chi Dra A | chi Dra | 44 Dra | chi Dra B | HIP 89937 | TYC 4437-1491-1 | Gaia DR3 2266693630693936512 | Gaia DR2 2266693630693473024 | 2MASS J18210342+7243582 | TIC 341873045,89937,4437-01491-1,,18210342+7243582,
15,118572803,TIC 118572803,"""TIC 118572803""",TIC 118572803,53.23268801 -9.45825874,53.23268801,-9.458258744,312.219,3.71548,1.776,5065.0,0.3383214,140.19275,341.2371265,0.306632872051756,8,0.102210957350585,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",Ran,eps Eri,Ran | HD 22049 | HR 1084 | eps Eri | 18 Eri | HIP 16537 | TYC 5296-1533-1 | Gaia DR3 5164707970261890560 | Gaia DR2 5164707970261630080 | 2MASS J03325591-0927298 | TIC 118572803,16537,5296-01533-1,5164707970261630080,03325591-0927298,
16,409891396,TIC 409891396,"""TIC 409891396""",TIC 409891396,302.18168430 -66.18204347,302.1816843,-66.18204347,164.053,3.55,1.933,5590.39,1.249836,138.6690492,329.1707013,3.0896737297331,8,1.02989124324437,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 190248,del Pav,HD 190248 | HR 7665 | del Pav | HIP 99240 | TYC 9098-1918-1 | Gaia DR3 6427464123776727168 | Gaia DR2 6427464325637241728 | 2MASS J20084376-6610563 | TIC 409891396,99240,9098-01918-1,6427464325637241728,20084376-6610563,
17,366661076,TIC 366661076,"""TIC 366661076""",TIC 366661076,177.67381440 1.76472701,177.6738144,1.76472701,89.9258,3.59292,2.269,6070.89,3.766435,129.4320635,300.8020467,25.6350313222847,7,7.47688413566636,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",Zavijava,bet Vir,Zavijava | HD 102870 | HR 4540 | bet Vir | 5 Vir | HIP 57757 | TYC 273-924-1 | Gaia DR3 3796442680948579328 | Gaia DR2 3796442680947600768 | 2MASS J11504173+0145528 | TIC 366661076,57757,0273-00924-1,3796442680947600768,11504173+0145528,
18,93280676,TIC 93280676,"""TIC 93280676""",TIC 93280676,86.11577716 -22.44837332,86.11577716,-22.44837332,112.611,3.59,2.508,6257.89,2.344257,126.9469566,292.7719196,9.72950339968741,7,2.83777182490883,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 38393,gam Lep,HD 38393 | HR 1983 | gam Lep | 13 Lep | HIP 27072 | TYC 5930-2197-1 | Gaia DR3 2964000159821218432 | Gaia DR2 2964000159820118400 | 2MASS J05442780-2226538 | TIC 93280676,27072,5930-02197-1,2964000159820118400,05442780-2226538,
19,184842719,TIC 184842719,"""TIC 184842719""",TIC 184842719,110.03074340 21.98230689,110.0307434,21.98230689,57.7401,3.52406,2.555,6939.26,9.180161,125.8311341,283.1198257,111.926261841068,7,32.6451597036449,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",Wasat,del Gem,Wasat | HD 56986 | HR 2777 | 55 Gem | del Gem | del Gem A | 55 Gem A | HIP 35550 | TYC 1359-2672-1 | Gaia DR3 866177431955478144 | Gaia DR2 866177431953646464 | 2MASS J07200736+2158561 | TIC 184842719,35550,1359-02672-1,866177431953646464,07200736+2158561,
20,471011939,TIC 471011939,"""TIC 471011939""",TIC 471011939,239.11323900 15.66161700,239.113239,15.661617,89.92,3.84453,2.660000086,6286.0,3.44854,122.8140738,282.9227347,22.3957746725752,7,6.53210094616776,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 142860,gam Ser,HD 142860 | HR 5933 | 41 Ser | gam Ser | HIP 78072 | TYC 1496-2119-1 | Gaia DR3 1193030490492925824 | Gaia DR2 1193030490492925824 | 2MASS J15562720+1539413 | TIC 377415363,78072,,,,
21,357336603,TIC 357336603,"""TIC 357336603""",TIC 357336603,331.75275860 25.34510448,331.7527586,25.34510448,84.7637,3.77164,2.564,6565.0,3.506831,115.559951,263.3850455,24.2299736025821,6,6.05749340064552,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 210027,iot Peg,HD 210027 | HR 8430 | iot Peg | iot Peg A | 24 Peg | iot Peg B | HIP 109176 | TYC 2208-2471-1 | Gaia DR3 1891598193816300544 | Gaia DR2 1891598193815850624 | 2MASS J22070067+2520424 | TIC 357336603,109176,2208-02471-1,1891598193815850624,22070067+2520424,
22,79454735,TIC 79454735,"""TIC 79454735""",TIC 79454735,258.83711500 -26.60224800,258.837115,-26.602248,167.08,4.33,1.84,5092.67,0.800968974,115.3114638,280.2939249,2.56576571959454,7,0.748348334881741,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",36 Oph,36 Oph,36 Oph | HIP 84405 | 2MASS J17152095-2636064 | TIC 79454735,84405,6820-00326-2,4109030160308320128,17152095-2636064,
23,317721019,TIC 317721019,"""TIC 317721019""",TIC 317721019,89.10121988 -14.16770134,89.10121988,-14.16770134,68.9277,3.71805,2.993,6991.37,5.322206,114.2022931,256.5291966,48.9053968273319,6,12.226349206833,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 40136,eta Lep,HD 40136 | HR 2085 | eta Lep | 16 Lep | HIP 28103 | TYC 5360-1370-1 | Gaia DR3 2995725777563537792 | Gaia DR2 2995725777561177472 | 2MASS J05562429-1410036 | TIC 317721019,28103,5360-01370-1,2995725777561177472,05562429-1410036,
24,377415363,TIC 377415363,"""TIC 377415363""",TIC 377415363,239.11326280 15.66160810,239.1132628,15.6616081,89.4602,3.84453,2.703,6236.34,2.972263,113.6502557,262.3334308,20.7958966791744,6,5.1989741697936,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 142860,gam Ser,HD 142860 | HR 5933 | 41 Ser | gam Ser | HIP 78072 | TYC 1496-2119-1 | Gaia DR3 1193030490492925824 | Gaia DR2 1193030490492925824 | 2MASS J15562720+1539413 | TIC 377415363,78072,1496-02119-1,1193030490492925824,15562720+1539413,
25,185284200,TIC 185284200,"""TIC 185284200""",TIC 185284200,220.76507570 -5.65822011,220.7650757,-5.65822011,54.7934,3.86737,3.039,6695.58,7.571023,109.2715179,247.8865181,121.612677994903,6,30.4031694987257,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 129502,mu. Vir,HD 129502 | HR 5487 | mu. Vir | 107 Vir | HIP 71957 | TYC 4997-942-1 | Gaia DR3 6337717036911729024 | Gaia DR2 6337717036910714112 | 2MASS J14430363-0539291 | TIC 185284200,71957,4997-00942-1,6337717036910714112,14430363-0539291,
26,88523071,TIC 88523071,"""TIC 88523071""",TIC 88523071,48.01887219 -28.98761906,48.01887219,-28.98761906,71.6818,3.8,2.238,6181.28,4.250049,109.1250516,252.4515486,47.8214154982208,6,11.9553538745552,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 20010,alf For,HD 20010 | HD 20010A | HR 963 | alf For | 12 Eri | alf For A | HIP 14879 | TYC 6445-990-1 | Gaia DR3 5059348952161258624 | Gaia DR2 5059348952156075776 | 2MASS J03120443-2859156 | TIC 88523071,14879,6445-00990-1,5059348952156075776,03120443-2859156,
27,21439835,TIC 21439835,"""TIC 21439835""",TIC 21439835,135.16026990 41.78273303,135.1602699,41.78273303,62.23,3.96715,3.003,6394.0,5.712445093,108.9500766,249.9243261,78.8927329670204,6,19.7231832417551,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 76943,10 UMa,HD 76943 | HD 76943B | HR 3579 | 10 UMa | HIP 44248 | TYC 2986-1978-1 | Gaia DR3 816649002967779584 | Gaia DR2 816649002967779584 | 2MASS J09003845+4146583 | TIC 21439835,44248,2986-01978-1,816649002967779584,09003845+4146583,
28,311092847,TIC 311092847,"""TIC 311092847""",TIC 311092847,54.21830000 0.40160300,54.2183,0.401603,72.89,4.2872,2.835,6033.55,4.003885506,108.3282142,252.1527737,46.0717732412513,6,11.5179433103128,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 22484,10 Tau,HD 22484 | HR 1101 | 10 Tau | HIP 16852 | TYC 64-1569-1 | Gaia DR3 3263836568394170880 | Gaia DR2 3263836568393943808 | 2MASS J03365238+0024054 | TIC 311092847,16852,0064-01569-1,,03365238+0024054,
29,270577175,TIC 270577175,"""TIC 270577175""",TIC 270577175,86.82121658 -51.06650357,86.82121658,-51.06650357,50.6231,3.85,3.526,8038.68,8.970551,107.2573539,234.9235273,124.927556380285,6,31.2318890950713,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 39060,bet Pic,HD 39060 | HR 2020 | bet Pic | HIP 27321 | TYC 8099-1392-1 | Gaia DR3 4792774797545800832 | Gaia DR2 4792774797545105664 | 2MASS J05471708-5103594 | TIC 270577175,27321,8099-01392-1,4792774797545105664,05471708-5103594,
30,116988032,TIC 116988032,"""TIC 116988032""",TIC 116988032,47.26675070 49.61327630,47.2667507,49.6132763,95.1587,4.05641,2.723,5938.0,2.230644,105.9613944,247.653343,16.0360278289708,6,4.00900695724271,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 19373,iot Per,HD 19373 | HR 937 | iot Per | HIP 14632 | TYC 3318-1840-1 | Gaia DR3 436648129327098496 | Gaia DR2 436648129326142336 | 2MASS J03090387+4936479 | TIC 116988032,14632,3318-01840-1,436648129326142336,03090387+4936479,
31,514062507,TIC 514062507,"""TIC 514062507""",TIC 514062507,286.60506120 -37.06327565,286.6050612,-37.06327565,58.6956,4.9596,2.849999905,6188.0,5.898536232,105.2405905,243.3983908,99.7213604523193,6,24.9303401130798,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 177474,gam CrA A,HD 177474 | HR 7226 | gam CrA A | TYC 7422-1737-1 | Gaia DR3 6719152945032456832 | Gaia DR2 6719152945032456832,,,6719152945032456832,,
32,441709021,TIC 441709021,"""TIC 441709021""",TIC 441709021,216.29914590 51.85073920,216.2991459,51.8507392,69.4861,4.03929,2.739,6216.86,4.128554,104.116329,240.5159234,50.4069482215642,6,12.6017370553911,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 126660,tet Boo,HD 126660 | HR 5404 | tet Boo | 23 Boo | HIP 70497 | TYC 3478-1332-1 | Gaia DR3 1604859511344724864 | Gaia DR2 1604859511344338816 | 2MASS J14251181+5151029 | TIC 441709021,70497,3478-01332-1,1604859511344338816,14251181+5151029,
33,301051051,TIC 301051051,"""TIC 301051051""",TIC 301051051,49.98188638 -43.06979827,49.98188638,-43.06979827,166.561,4.26,2.636,5413.26,0.6542818,102.5933379,245.556615,1.95597607376299,6,0.488994018440748,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 20794,e Eri,HD 20794 | HR 1008 | e Eri | 82 Eri | HIP 15510 | TYC 7567-1183-1 | Gaia DR3 4847957293278177024 | Gaia DR2 4847957293277762560 | 2MASS J03195563-4304112 | TIC 301051051,15510,7567-01183-1,4847957293277762560,03195563-4304112,
34,231698181,TIC 231698181,"""TIC 231698181""",TIC 231698181,330.84022040 -56.78598057,330.8402204,-56.78598057,274.805,4.69,2.237,4611.06,0.2218265,101.5843594,252.9247209,0.365798183473981,6,0.0914495458684954,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 209100,eps Ind,HD 209100 | HR 8387 | eps Ind | HIP 108870 | TYC 8817-984-1 | Gaia DR3 6412595290592307840 | Gaia DR2 6412595290592307840 | 2MASS J22032156-5647093 | TIC 231698181,108870,8817-00984-1,6412595290592307840,22032156-5647093,
35,453620177,TIC 453620177,"""TIC 453620177""",TIC 453620177,156.09876310 -74.03161130,156.0987631,-74.0316113,61.9474,3.99,3.252,6940.89,5.161593,101.2231186,227.7399017,65.2680594828726,6,16.3170148707182,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 90589,I Car,HD 90589 | HR 4102 | I Car | HIP 50954 | TYC 9223-2880-1 | Gaia DR3 5205029672996886016 | Gaia DR2 5205029672995661056 | 2MASS J10242373-7401536 | TIC 453620177,50954,9223-02880-1,5205029672995661056,10242373-7401536,
36,189576919,TIC 189576919,"""TIC 189576919""",TIC 189576919,24.19934213 41.40546331,24.19934213,41.40546331,74.5711,4.09565,2.859,6105.51,3.35283,101.1294493,234.6866032,37.8022432037623,6,9.45056080094057,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",Titawin,ups And,Titawin | HD 9826 | HR 458 | ups And | 50 And | HIP 7513 | TYC 2822-2210-1 | Gaia DR3 348020482735930112 | Gaia DR2 348020448377061376 | 2MASS J01364784+4124200 | TIC 189576919,7513,2822-02210-1,348020448377061376,01364784+4124200,
37,302158903,TIC 302158903,"""TIC 302158903""",TIC 302158903,41.04995062 49.22845067,41.04995062,49.22845067,89.6955,4.10695,2.697,6196.0,2.325108,100.9400447,233.3760756,17.7841213482296,6,4.4460303370574,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 16895,tet Per,HD 16895 | HR 799 | tet Per | 13 Per | HIP 12777 | TYC 3304-2737-1 | Gaia DR3 438829629114680704 | Gaia DR2 438829629113960704 | 2MASS J02441197+4913423 | TIC 302158903,12777,3304-02737-1,438829629113960704,02441197+4913423,
38,67772871,TIC 67772871,"""TIC 67772871""",TIC 67772871,63.81800003 -7.65287139,63.81800003,-7.652871394,198.566,4.42018,2.498,5092.0,0.4327296,100.7313273,244.8612227,1.06278425090882,6,0.265696062727205,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",Keid,omi02 Eri,Keid | HD 26965 | HR 1325 | omi02 Eri | 40 Eri | HIP 19849 | TYC 5312-2325-1 | Gaia DR3 3195919528989223040 | Gaia DR2 3195919528988725120 | 2MASS J04151651-0739068 | TIC 67772871,,,3195919528988725120,04151651-0739068,
39,254125171,TIC 254125171,"""TIC 254125171""",TIC 254125171,286.60489240 -37.06367530,286.6048924,-37.0636753,55.89,4.23,2.85,6188.0,5.898536232,100.2101794,231.7641538,113.645774867518,6,28.4114437168796,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",gam CrA,gam CrA,gam CrA | HIP 93825 | 2MASS J19062517-3703485 | TIC 254125171,93825,7422-01737-1,6719152945029845376,19062517-3703485,
40,421189312,TIC 421189312,"""TIC 421189312""",TIC 421189312,182.10340410 -24.72887067,182.1034041,-24.72887067,66.8743,4.02,3.307,6962.12,4.327895,99.99885186,224.8326539,47.4067556013927,6,11.8516889003482,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",Alchiba,alf Crv,Alchiba | HD 105452 | HR 4623 | alf Crv | 1 Crv | HIP 59199 | TYC 6672-995-1 | Gaia DR3 3489338019475637760 | Gaia DR2 3489338019474978176 | 2MASS J12082481-2443440 | TIC 421189312,59199,6672-00995-1,3489338019474978176,12082481-2443440,
41,419919445,TIC 419919445,"""TIC 419919445""",TIC 419919445,354.98765750 5.62629107,354.9876575,5.626291073,74.4448,4.12718,2.946,6240.94,3.275677,99.26708649,229.0910071,35.977543841324,6,8.99438596033099,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 222368,iot Psc,HD 222368 | HR 8969 | 17 Psc | iot Psc | HIP 116771 | TYC 591-1744-1 | Gaia DR3 2756363608023588864 | Gaia DR2 2756363608023335808 | 2MASS J23395706+0537343 | TIC 419919445,116771,0591-01744-1,2756363608023335808,23395706+0537343,
42,287532010,TIC 287532010,"""TIC 287532010""",TIC 287532010,124.63144110 -76.91972923,124.6314411,-76.91972923,51.9434,4.05,3.15,6736.0,6.942022,99.05945575,224.4031112,132.57005333061,6,33.1425133326525,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 71243,alf Cha,HD 71243 | HR 3318 | alf Cha | HIP 40702 | TYC 9398-2714-1 | Gaia DR3 5210240327318434304 | Gaia DR2 5210240323024349440 | 2MASS J08183157-7655108 | TIC 287532010,40702,9398-02714-1,5210240323024349440,08183157-7655108,
43,60716322,TIC 60716322,"""TIC 60716322""",TIC 60716322,341.67323530 12.17289337,341.6732353,12.17289337,62.3994,4.20522,2.961,6178.29,4.545395,98.25058278,227.322169,72.2275984406351,6,18.0568996101588,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 215648,ksi Peg,HD 215648 | HR 8665 | ksi Peg | ksi Peg A | 46 Peg | HIP 112447 | TYC 1155-2186-1 | Gaia DR3 2719475542667772416 | Gaia DR2 2719475542666622976 | 2MASS J22464156+1210228 | TIC 60716322,112447,1155-02186-1,2719475542666622976,22464156+1210228,
44,425935521,TIC 425935521,"""TIC 425935521""",TIC 425935521,5.01782133 -64.87480825,5.017821334,-64.87480825,117.168,4.23,2.769,5960.81,1.261912,98.04195765,228.9188669,6.31097193443227,6,1.57774298360807,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 1581,zet Tuc,HD 1581 | HR 77 | zet Tuc | HIP 1599 | TYC 8843-1706-1 | Gaia DR3 4900108950849461248 | Gaia DR2 4900108950847893376 | 2MASS J00200446-6452282 | TIC 425935521,1599,8843-01706-1,4900108950847893376,00200446-6452282,
45,311180437,TIC 311180437,"""TIC 311180437""",TIC 311180437,222.84700600 19.10095400,222.847006,19.100954,149.26,4.55529,1.971,5464.0,0.74,97.57517382,232.9881165,2.76659174226841,6,0.691647935567104,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 131156,ksi Boo,HD 131156 | HR 5544 | 37 Boo | ksi Boo | HIP 72659 | 2MASS J14512328+1906034 | TIC 311180437,72659,1481-00722-1,1237090738916392704,14512328+1906034,
46,458445966,TIC 458445966,"""TIC 458445966""",TIC 458445966,188.43566660 41.35747824,188.4356666,41.35747824,116.13,4.24697,2.848,5884.0,1.258513,97.34122932,228.0405936,6.60764307436497,6,1.65191076859124,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",Chara,bet CVn,Chara | HD 109358 | HR 4785 | 8 CVn | bet CVn | HIP 61317 | TYC 3020-2541-1 | Gaia DR3 1534011998572555776 | Gaia DR2 1534011998570864256 | 2MASS J12334454+4121270 | TIC 458445966,61317,3020-02541-1,1534011998570864256,12334454+4121270,
47,265488188,TIC 265488188,"""TIC 265488188""",TIC 265488188,321.61085340 -65.36620070,321.6108534,-65.3662007,107.853,4.21,2.969,6109.28,1.46538,96.68175003,224.3298429,8.29079339590689,6,2.07269834897672,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 203608,gam Pav,HD 203608 | HR 8181 | gam Pav | HIP 105858 | TYC 9111-1423-1 | Gaia DR3 6401464693867773568 | Gaia DR2 6401464693866921472 | 2MASS J21262662-6521578 | TIC 265488188,105858,9111-01423-1,6401464693866921472,21262662-6521578,
48,445070560,TIC 445070560,"""TIC 445070560""",TIC 445070560,197.96832120 27.87818300,197.9683212,27.878183,108.895,4.24037,2.923,5969.45,1.414261,96.4298544,225.0712156,8.23715172934576,6,2.05928793233644,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 114710,bet Com,HD 114710 | HR 4983 | bet Com | 43 Com | HIP 64394 | TYC 1996-2400-1 | Gaia DR3 1460229442589223424 | Gaia DR2 1460229369573307264 | 2MASS J13115238+2752411 | TIC 445070560,64394,1996-02400-1,1460229369573307264,13115238+2752411,
49,269995013,TIC 269995013,"""TIC 269995013""",TIC 269995013,311.52388520 -25.27089744,311.5238852,-25.27089744,70.2011,4.13,3.094,6540.23,3.529976,96.10555412,219.2444176,40.7972566656211,5,8.49942847200439,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 197692,psi Cap,HD 197692 | HR 7936 | psi Cap | 16 Cap | HIP 102485 | TYC 6925-1576-1 | Gaia DR3 6805455124526007424 | Gaia DR2 6805455124524918400 | 2MASS J20460572-2516153 | TIC 269995013,102485,6925-01576-1,6805455124524918400,20460572-2516153,
