ra_deg,dec_deg,plx_mas,vmag,kmag,teff_k,lum_rel_solar,id,hz_inner_mas,hz_outer_mas,t_exposure_hr,n_cover,t_tot_day
182.1034041,-24.72887067,66.8743,4.02,3.307,6962.12,4.327895,421189312,99.99885186,224.8326539,47.4067556013927,6,11.8516889003482
354.9876575,5.626291073,74.4448,4.12718,2.946,6240.94,3.275677,419919445,99.26708649,229.0910071,35.977543841324,6,8.99438596033099
124.6314411,-76.91972923,51.9434,4.05,3.15,6736,6.942022,287532010,99.05945575,224.4031112,132.57005333061,6,33.1425133326525
341.6732353,12.17289337,62.3994,4.20522,2.961,6178.29,4.545395,60716322,98.25058278,227.322169,72.2275984406351,6,18.0568996101588
5.017821334,-64.87480825,117.168,4.23,2.769,5960.81,1.261912,425935521,98.04195765,228.9188669,6.31097193443227,6,1.57774298360807
222.847006,19.100954,149.26,4.55529,1.971,5464,0.74,311180437,97.57517382,232.9881165,2.76659174226841,6,0.691647935567104
188.4356666,41.35747824,116.13,4.24697,2.848,5884,1.258513,458445966,97.34122932,228.0405936,6.60764307436497,6,1.65191076859124
321.6108534,-65.3662007,107.853,4.21,2.969,6109.28,1.46538,265488188,96.68175003,224.3298429,8.29079339590689,6,2.07269834897672
197.9683212,27.878183,108.895,4.24037,2.923,5969.45,1.414261,445070560,96.4298544,225.0712156,8.23715172934576,6,2.05928793233644
311.5238852,-25.27089744,70.2011,4.13,3.094,6540.23,3.529976,269995013,96.10555412,219.2444176,40.7972566656211,5,8.49942847200439
181.7204083,-64.61373064,51.2664,4.14,3.197,6914,6.544465,380353415,94.40141739,212.5764767,127.964798297497,5,26.6593329786452
281.4155122,20.54630984,51.1282,4.20238,3.19,6330,6.322122,282038438,94.39404471,217.0744136,145.305185373732,5,30.2719136195275
112.2780773,31.78487515,54.9868,4.17412,2.978,6930.61,5.653109,239137207,94.0584141,211.6902366,96.5033404877626,5,20.1048626016172
318.620057,10.00698209,54.11,4.48525,3.384,6299,5.505787019,262143945,93.33563934,214.9032691,115.697046342164,5,24.1035513212842
56.71203648,-23.24972143,56.6965,4.22,3.353,6685,5.068327,121078878,92.5429326,210.0153536,88.1333481050939,5,18.3611141885612
206.4218564,-33.04371735,53.204,4.23,3.41,6802.37,5.59976,30068122,90.9336786,205.5274314,108.615946283086,5,22.6283221423095
316.7247484,38.74941584,285.946,5.24004,2.248,4304.53,0.1577757,165602000,90.04557074,227.7019525,0.299819512380417,5,0.0624623984125868
88.59569699,20.27624792,113.124,4.3971,2.996,5988,1.142209,114776214,89.95918156,209.8016635,6.46681871810111,5,1.3472538996044
236.6108935,7.353067124,84.6121,4.4154,2.989,5901,2.003516,296740796,89.42444306,209.338749,20.7099383178042,5,4.31457048287587
